file_name,x,y,confidence,subtlety,obscuration
0001.png,1210.5,545.5,3.0,5.0,1.75
0008.png,1487.0,736.0,2.5,3.5,2.0
0008.png,469.5,1036.5,1.5,1.0,1.0
0013.png,651.0,600.0,3.0,5.0,2.0
0013.png,1032.0,1310.0,1.0,,
0013.png,634.0,594.0,1.5,2.0,2.0
0014.png,1166.5,657.0,3.0,4.5,1.25
0020.png,1423.6666666666667,725.6666666666666,3.0,4.666666666666667,1.3333333333333333
0020.png,1375.0,465.0,1.0,,
0022.png,731.5,424.0,3.0,4.75,2.0
0023.png,1230.0,490.0,3.0,2.75,2.25
0026.png,1390.5,599.5,1.5,1.0,1.0
0026.png,163.0,1171.5,1.0,,
0030.png,1608.3333333333333,1207.0,1.3333333333333333,1.0,3.0
0030.png,847.0,596.0,2.0,1.0,3.0
0033.png,1146.5,532.0,1.0,,
0033.png,1546.5,543.5,2.0,1.5,2.0
0037.png,1309.0,586.0,2.0,1.5,2.5
0037.png,1370.5,986.5,3.0,3.5,1.5
0038.png,1534.5,1309.5,1.0,,
0050.png,611.75,730.0,3.0,4.75,1.5
0052.png,752.0,344.5,3.0,4.0,2.5
0052.png,1589.0,1484.0,1.5,2.0,2.0
0054.png,1647.0,903.0,2.75,3.0,2.0
0059.png,1081.25,823.25,1.25,2.0,2.0
0064.png,1646.0,1052.3333333333333,3.0,5.0,1.3333333333333333
0064.png,801.0,554.0,2.0,1.0,3.0
0073.png,1171.5,440.0,2.5,2.0,3.0
0073.png,1078.0,1214.0,1.0,,
0073.png,1018.0,1293.0,1.0,,
0074.png,752.25,690.5,3.0,4.5,2.25
0081.png,535.0,982.0,2.0,1.0,2.0
0081.png,429.0,517.6666666666666,3.0,4.666666666666667,2.0
0082.png,683.75,662.5,3.0,4.25,2.25
0083.png,1219.0,1022.5,1.0,,
0083.png,1180.0,1466.0,1.0,,
0089.png,1520.75,1521.0,3.0,4.5,2.25
0090.png,509.75,746.75,2.25,2.25,1.25
0096.png,714.25,517.75,1.75,1.0,2.6666666666666665
0099.png,1133.0,1256.0,1.0,,
0099.png,338.0,1344.0,1.0,,
0099.png,495.0,1203.0,1.0,,
0099.png,719.0,994.0,2.0,1.0,3.0
0102.png,1613.0,1433.0,2.0,1.0,3.0
0102.png,1745.6666666666667,1436.3333333333333,1.0,,
0105.png,700.5,607.0,1.0,,
0105.png,292.0,962.0,1.5,2.0,1.0
0108.png,557.3333333333334,1329.0,2.333333333333333,3.0,2.333333333333333
0108.png,444.0,393.0,1.0,,
0112.png,1177.75,1491.75,1.75,1.0,2.5
0113.png,1344.0,1598.5,1.5,1.0,2.0
0114.png,324.0,1222.5,1.0,,
0116.png,406.6666666666667,897.6666666666666,3.0,5.0,2.333333333333333
0116.png,1503.0,852.0,2.0,1.0,2.0
0123.png,1464.0,1334.5,1.5,2.5,2.0
0125.png,342.0,617.0,1.0,,
0125.png,1181.5,1372.5,1.0,,
0125.png,402.0,1028.0,1.0,,
0126.png,1189.0,860.0,1.0,,
0126.png,1595.0,749.0,1.3333333333333333,2.0,2.0
0131.png,1489.0,809.6666666666666,2.333333333333333,4.0,1.5
0131.png,1681.0,790.0,1.0,,
0133.png,654.0,810.0,3.0,3.5,1.5
0133.png,829.0,1457.0,1.5,1.0,3.0
0148.png,1697.0,1262.0,1.0,,
0148.png,573.5,1042.5,1.5,2.0,2.0
0148.png,655.0,979.0,1.0,,
0152.png,831.5,1004.75,1.5,2.0,2.0
0153.png,699.0,776.0,1.0,,
0153.png,444.0,1235.0,3.0,3.5,2.0
0155.png,630.0,621.0,1.5,2.0,2.5
0157.png,1661.0,1223.0,1.25,1.0,2.0
0161.png,1665.0,1390.0,1.0,,
0161.png,515.0,1649.0,1.0,,
0161.png,1621.0,1288.0,1.0,,
0161.png,346.0,1308.0,1.0,,
0162.png,1685.0,763.0,2.0,1.0,3.0
0162.png,601.6666666666666,832.3333333333334,2.333333333333333,2.6666666666666665,1.3333333333333333
0163.png,1547.75,1467.0,2.75,4.5,1.75
0165.png,557.25,373.0,1.75,1.3333333333333333,2.0
0166.png,778.5,1159.75,2.75,3.0,2.25
0168.png,445.3333333333333,1187.6666666666667,2.6666666666666665,3.6666666666666665,1.3333333333333333
0168.png,1505.0,1062.0,2.0,2.0,2.0
0169.png,711.0,823.0,1.0,,
0169.png,700.0,1115.0,1.0,,
0169.png,1463.5,771.0,1.0,,
0170.png,725.5,1012.5,2.0,3.0,1.0
0170.png,441.5,1255.5,1.5,3.0,2.0
0172.png,1328.25,549.5,3.0,4.75,1.75
0173.png,327.25,1123.25,1.5,2.0,1.5
0175.png,1444.0,738.5,2.75,3.5,2.75
0177.png,466.75,674.75,2.5,2.0,2.25
0178.png,1273.0,876.5,1.25,2.0,2.0
0180.png,600.25,360.25,1.5,1.0,1.0
0182.png,436.5,1047.0,1.0,,
0182.png,541.0,1075.0,1.0,,
0182.png,1271.0,709.0,2.0,1.0,1.0
0183.png,602.6666666666666,518.3333333333334,3.0,4.666666666666667,1.3333333333333333
0183.png,1552.0,839.0,2.0,2.0,1.0
0184.png,485.75,974.0,1.75,4.0,2.0
0190.png,1419.0,672.0,2.6666666666666665,3.6666666666666665,2.0
0190.png,1473.0,1297.0,3.0,5.0,2.0
0191.png,482.75,806.0,3.0,5.0,1.5
0193.png,502.25,811.5,1.75,2.0,2.6666666666666665
0194.png,1345.5,712.0,2.5,3.5,2.0
0194.png,1360.0,1131.0,1.0,,
0194.png,1433.0,862.0,3.0,2.0,2.0
0196.png,625.75,662.25,1.5,1.5,2.0
0198.png,360.5,1691.0,2.0,4.0,2.5
0200.png,366.0,1152.0,2.0,2.5,1.5
0200.png,363.5,971.0,2.0,2.0,2.0
0202.png,137.75,1295.0,1.5,1.5,3.0
0203.png,1241.5,504.5,2.0,2.0,2.0
0203.png,1214.5,1569.0,1.0,,
0210.png,682.0,711.25,1.75,1.6666666666666667,1.6666666666666667
0211.png,1568.0,1153.0,1.0,,
0211.png,1544.0,1313.6666666666667,3.0,4.333333333333333,1.6666666666666667
0212.png,1066.0,325.75,1.25,2.0,2.0
0213.png,433.25,545.5,3.0,4.5,1.25
